team,mean_rank,median_rank,best_rank,worst_rank,seasons_count,rank_stddev,mean_normalized_rank,rank_stability
South Carolina,2.0,1,1,5,5,1.7,0.3,1.7
Connecticut,2.2,2,1,4,5,1.1,0.3,1.1
Stanford,12.4,3,1,50,5,21.1,3.2,21.1
Texas,9.2,4,3,22,5,7.9,2.3,7.9
Notre Dame,18.0,5,4,56,5,21.6,4.9,21.6
UCLA,16.4,6,5,41,5,15.4,4.3,15.4
LSU,22.2,7,3,66,5,25.7,6.1,25.7
North Carolina State,11.6,8,2,17,5,5.8,3.0,5.8
Maryland,17.4,9,4,31,5,10.9,4.6,10.9
Iowa,13.6,10,5,24,5,8.2,3.6,8.2
Indiana,16.0,11,5,34,5,11.2,4.2,11.2
Tennessee,18.4,12,12,30,5,6.9,4.9,6.9
Baylor,15.4,13,3,32,5,11.1,4.0,11.1
Ohio State,17.6,14,9,27,5,6.4,4.7,6.4
Oregon,36.4,15,10,99,5,37.0,9.9,37.0
Virginia Tech,23.4,16,9,47,5,16.5,6.3,16.5
Louisville,17.8,17,5,35,5,12.6,4.7,12.6
Duke,29.4,18,7,58,5,24.0,8.1,24.0
North Carolina,24.4,19,6,38,5,13.4,6.6,13.4
Gonzaga,37.8,20,12,95,5,34.2,10.3,34.2
West Virginia,35.8,21,13,62,5,23.3,9.8,23.3
Ole Miss,27.2,22,11,39,5,11.1,7.4,11.1
Michigan,26.0,23,14,48,5,13.3,7.0,13.3
Iowa State,23.4,24,10,36,5,11.6,6.3,11.6
Arizona,30.4,25,7,61,5,19.9,8.2,19.9
Utah,35.2,26,7,103,5,39.0,9.8,39.0
Creighton,39.2,27,18,93,5,30.5,10.9,30.5
USC,38.2,28,6,74,5,32.3,10.6,32.3
Alabama,33.4,29,17,53,5,13.0,9.1,13.0
Colorado,34.4,30,16,56,5,16.2,9.4,16.2
Georgia Tech,48.0,31,31,77,5,22.6,13.2,22.6
Georgia,55.6,32,15,106,5,41.7,15.2,41.7
Michigan State,38.6,33,21,71,5,20.6,10.6,20.6
Kentucky,61.8,34,19,149,5,54.2,17.0,54.2
Oklahoma,35.4,35,14,61,5,17.1,9.8,17.1
Washington State,55.8,36,29,124,5,40.0,15.4,40.0
Kansas State,45.2,37,9,99,5,37.3,12.6,37.3
Kansas,57.0,38,37,92,5,27.2,15.8,27.2
Nebraska,37.0,39,23,54,5,13.0,10.2,13.0
Princeton,96.6,40,20,343,5,138.1,27.6,138.1
Marquette,47.8,41,32,66,5,14.1,13.1,14.1
South Florida,58.6,42,30,109,5,33.6,16.1,33.6
Florida State,40.0,43,23,55,5,15.8,11.0,15.8
FGCU,46.8,44,36,62,5,10.9,12.9,10.9
South Dakota State,42.2,45,30,55,5,10.3,11.6,10.3
Oklahoma State,47.2,46,21,83,5,24.8,13.0,24.8
Mississippi State,45.4,47,33,60,5,10.2,12.5,10.2
Arkansas,63.4,48,24,136,5,44.9,17.4,44.9
Illinois,96.0,49,29,216,5,81.4,27.0,81.4
Oregon State,54.0,50,17,120,5,39.9,14.8,39.9
Texas A&M,66.0,51,13,114,5,44.7,18.1,44.7
UNLV,64.4,52,26,121,5,36.1,18.0,36.1
Miami (FL),59.8,53,40,84,5,18.4,16.6,18.4
Middle Tennessee,57.2,54,28,108,5,30.7,16.0,30.7
Missouri,62.6,55,47,85,5,14.8,17.3,14.8
Syracuse,67.2,56,44,108,5,27.8,18.6,27.8
Columbia,118.6,57,42,343,5,127.8,33.7,127.8
Villanova,52.2,58,12,70,5,23.5,14.4,23.5
Florida,63.0,59,48,83,5,16.0,17.5,16.0
Northern Iowa,73.6,60,54,96,5,19.4,20.4,19.4
Stephen F. Austin,77.8,61,28,147,5,44.5,21.5,44.5
Seton Hall,68.4,62,52,87,5,13.2,18.9,13.2
Belmont,63.8,63,45,81,5,15.9,17.7,15.9
Drake,63.8,64,51,80,5,12.4,17.7,12.4
Missouri State,70.2,65,20,114,5,40.6,19.3,40.6
Toledo,96.2,66,63,167,5,45.4,27.0,45.4
Washington,64.0,67,42,94,5,21.6,17.8,21.6
Green Bay,83.0,68,50,120,5,28.6,23.2,28.6
Clemson,78.8,69,58,111,5,22.0,21.9,22.0
