Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
195,Wright State,Horizon,,18,15,70.2,70.8,-0.61,,-1.85,,2.53,-6.99,-4.46,92.07,98.55,-6.48
196,Wofford,Southern,,17,13,66.6,61.1,5.50,,-6.31,,-0.59,-3.91,-4.50,90.63,97.01,-6.38
197,Austin Peay,A-Sun,,17,16,62.3,60.2,2.09,,-5.98,,-7.54,3.03,-4.52,84.98,90.99,-6.00
198,Long Beach State,Big West,,15,18,67.9,69.5,-1.55,,-2.30,,3.00,-7.53,-4.52,86.68,93.29,-6.62
199,Loyola Marymount,WCC,,11,19,60.4,65.3,-4.97,,2.24,,-4.15,-0.43,-4.58,89.42,96.98,-7.56
200,Florida Atlantic,AAC,,11,19,61.0,65.6,-4.60,,0.73,,-5.00,0.35,-4.65,88.35,95.38,-7.02
201,Georgia State,Sun Belt,,15,15,69.8,68.5,1.27,,-3.22,,0.37,-5.06,-4.69,90.19,97.13,-6.94
202,Delaware,CAA,,11,20,67.4,66.5,0.97,,-5.69,,1.18,-5.90,-4.73,87.06,94.34,-7.28
203,UT Arlington,WAC,,17,16,69.9,71.6,-1.76,,-3.00,,2.03,-6.79,-4.76,90.94,96.96,-6.02
204,Mercer,Southern,,15,17,64.8,64.3,0.44,,-5.26,,-1.04,-3.79,-4.83,89.28,95.92,-6.64
205,Milwaukee,Horizon,,16,16,66.2,62.7,3.50,,-5.85,,-4.29,-0.59,-4.88,90.17,96.87,-6.70
206,Arkansas-Pine Bluff,SWAC,,17,16,73.0,67.8,5.21,,-6.12,,2.78,-7.71,-4.93,88.55,95.79,-7.24
207,New Mexico State,CUSA,,13,18,60.5,61.5,-1.03,,-2.72,,-6.95,1.99,-4.95,84.77,91.61,-6.84
208,UC Riverside,Big West,,18,14,58.4,58.3,0.09,,-3.29,,-8.22,3.19,-5.02,82.55,90.00,-7.45
209,Utah Tech,WAC,,18,14,73.2,68.3,4.88,,-5.88,,1.45,-6.53,-5.08,92.75,100.10,-7.35
210,Texas State,Sun Belt,,14,18,64.9,63.5,1.41,,-3.96,,-5.25,0.13,-5.12,87.80,95.02,-7.22
211,Idaho State,Big Sky,,11,19,59.5,61.7,-2.20,,-1.81,,-6.78,1.34,-5.44,84.10,92.02,-7.91
212,East Tennessee State,Southern,,18,12,59.4,55.6,3.80,,-7.86,,-8.98,3.51,-5.47,86.11,93.34,-7.24
213,Colgate,Patriot,,20,14,61.8,55.7,6.12,,-9.57,,-6.69,1.15,-5.54,88.07,96.02,-7.95
214,Niagara,MAAC,,21,14,70.8,70.1,0.69,,-6.24,,4.12,-9.68,-5.55,84.09,92.54,-8.45
215,UC Santa Barbara,Big West,,16,15,64.9,62.7,2.23,,-4.76,,-3.41,-2.24,-5.66,89.34,97.85,-8.51
216,Siena,MAAC,,18,12,68.4,63.9,4.50,,-10.17,,0.53,-6.20,-5.67,87.96,96.54,-8.58
217,Lipscomb,A-Sun,,17,13,67.9,66.1,1.80,,-4.99,,-1.30,-4.44,-5.74,87.85,95.53,-7.68
218,Campbell,CAA,,17,14,60.8,55.1,5.71,,-7.09,,-9.57,3.69,-5.88,86.01,94.34,-8.33
219,UTEP,CUSA,,12,19,67.0,71.5,-4.48,,-0.27,,1.70,-7.62,-5.92,92.72,100.91,-8.18
220,UNC Greensboro,Southern,,21,12,63.4,56.2,7.27,,-7.99,,-6.56,0.37,-6.19,87.95,96.13,-8.18
